255,255,255,255,89,89,89,89,89,255,255,255,255
255,255,255,89,89,89,89,89,89,89,89,89,255
255,255,255,97,97,97,164,164,97,164,255,255,255
255,255,97,164,97,164,164,164,97,164,164,164,255
255,255,97,164,97,97,164,164,164,97,164,164,164
255,255,97,97,164,164,164,164,97,97,97,97,255
255,255,255,255,164,164,164,164,164,164,164,255,255
255,255,255,97,97,89,97,97,97,255,255,255,255
255,255,97,97,97,89,97,97,89,97,97,97,255
255,97,97,97,97,89,89,89,89,97,97,97,97
255,164,164,97,89,164,89,89,164,89,97,164,164
255,164,164,164,89,89,89,89,89,89,164,164,164
255,164,164,89,89,89,89,89,89,89,89,164,164
255,255,255,89,89,89,255,255,89,89,89,255,255
255,255,97,97,97,255,255,255,255,97,97,97,255
255,97,97,97,97,255,255,255,255,97,97,97,97
